CRN;Course;Session;Title;Instructor;Time/Location;Credits
23572;ECON 343 001;Full Term;CORPORATE FINANCE;Hartley, Peter R.;9:00AM - 9:50AM MWF BKH 10226-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
22191;ECON 365 001;Full Term;WORLD ECONOMIC HISTORY;Lopez Alonso, Moramay;1:00PM - 2:15PM TR HUM 11927-APR-2018 9:00AM - 12:00PM F TBA TBATake-Home Exam;3
25491;ECON 399 001;Full Term;INDEPENDENT RESEARCH;Merlo, Antonio;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;3
22158;ECON 418 001;Full Term;ECONOMIC FORECASTING;Sizova, Natalia;10:00AM - 10:50AM M BKH 22910:00AM - 10:50AM WF SEW 10130-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
22159;ECON 422 001;Full Term;INTERNATIONAL ECON & FINANCE;Bejan, Maria M.;1:00PM - 2:15PM TR BKH 11627-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
24090;ECON 441 001;Full Term;EMPIRICAL METHODS FOR IO;Perrigne, Isabelle;10:50AM - 12:05PM TR BKH 10226-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;3
24664;ECON 449 001;Full Term;FINANCIAL ENGINEERING;Loch-Temzelides, Ted P.;9:25AM - 10:40AM TR BKH 22928-APR-2018 9:00AM - 12:00PM S TBA TBAScheduled Final Exam-OTR Room;3
23573;ECON 450 001;Full Term;ECONOMIC DEVELOPMENT;Calvi, Rossella;4:00PM - 5:15PM MW HUM 32828-APR-2018 7:00PM - 10:00PM S TBA TBAScheduled Final Exam-OTR Room;3
24665;ECON 480 001;Full Term;ENVIRONMENTAL ECONOMICS;Hartley, Peter R.;11:00AM - 11:50AM MWF BKH 22925-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
20441;ECON 484 001;Full Term;PUBLIC ECONOMICS;Diamond, John W.;2:30PM - 3:45PM TR BKH 10230-APR-2018 2:00PM - 5:00PM M TBA TBAScheduled Final Exam-OTR Room;3
22160;ECON 497 001;Full Term;RESEARCH IN ECONOMETRICS;Tang, Xun;2:00PM - 3:15PM MW SEW 5601-MAY-2018 2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room;3
22161;ECON 499 001;Full Term;HONORS PROGRAM IN ECONOMICS-II;Sickles, Robin;5:00PM - 6:15PM TR BRK 10326-APR-2018 7:00PM - 10:00PM R TBA TBANo Final Exam;3
20053;ECON 505 001;Full Term;FINANCIAL ECONOMICS I;Back, Kerry E.;1:00PM - 3:50PM T MCN 218GR Course-Dept Schedules Exam;3
20054;ECON 508 001;Full Term;MICROECONOMICS II;Eraslan, HulyaPai, Mallesh M.;9:30AM - 12:00PM TR BKH 271GR Course-Dept Schedules Exam;5
21530;ECON 511 001;Full Term;ECONOMETRICS II;Tang, Xun;9:30AM - 11:00AM MW BKH 271GR Course-Dept Schedules Exam;3
21222;ECON 515 001;Full Term;LABOR ECONOMICS;Cunha, Flavio A.;5:00PM - 8:00PM M BKH 271GR Course-Dept Schedules Exam;3
21223;ECON 517 001;Full Term;EMPIRICAL INDUSTRIAL ORG;Fox, Jeremy T.;1:00PM - 2:30PM TR BKH 271GR Course-Dept Schedules Exam;3
20297;ECON 547 001;Full Term;ADV TOPICS IN ENERGY ECONOMICS;Medlock, Kenneth B.;10:00AM - 10:50AM MWF BKH 102GR Course-Dept Schedules Exam;3
21224;ECON 579 001;Full Term;TOPICS IN ECONOMETRICS II;Sickles, Robin;1:00PM - 2:30PM MW BKH 271GR Course-Dept Schedules Exam;3
20055;ECON 594 001;Full Term;BUSINESS & ECONOMICS WORKSHOPS;Back, Kerry E.Loch-Temzelides, Ted P.;3:00PM - 4:50PM W BKH 116GR Course-Dept Schedules Exam;1
20056;ECON 594 002;Full Term;MICRO WORKSHOPS;Eraslan, HulyaPai, Mallesh M.;3:00PM - 4:50PM T BKH 116GR Course-Dept Schedules Exam;1
20057;ECON 594 003;Full Term;ECONOMETRICS WORKSHOPS;Fox, Jeremy T.;3:00PM - 4:50PM R BKH 116GR Course-Dept Schedules Exam;1
20514;ECON 598 001;Full Term;READINGS IN ADVANCED TOPICS;Perrigne, Isabelle;5:00PM - 8:00PM T BKH 271GR Course-Dept Schedules Exam;3
22135;ECON 604 001;Full Term;ENERGY ECONOMICS II;Medlock, Kenneth B.;10:00AM - 10:50AM MWF BKH 1026:00PM - 7:00PM T BKH 102GR Course-Dept Schedules Exam;4
22136;ECON 605 001;Full Term;TAXATION IN THE ENERGY SECTOR;Zodrow, George R.;9:25AM - 10:40AM TR BKH 23311:00AM - 11:50AM W BKH 233GR Course-Dept Schedules Exam;4
22137;ECON 608 001;Full Term;RISK MANAGEMENT/ENERGYINDUSTRY;El-Gamal, Mahmoud A.;8:00AM - 9:15AM F BKH 22910:50AM - 12:05PM TR BKH 229GR Course-Dept Schedules Exam;4
22618;ECON 610 002;Full Term;ENERGY & THE MACROECONOMY;Carlton, Amelie B.;8:00AM - 9:15AM MW BKH 229GR Course-Dept Schedules Exam;4
24667;ECON 622 001;Full Term;TRANSPORTATION ECONOMICS;Loch-Temzelides, Ted P.;8:00AM - 9:15AM TR BKH 102GR Course-Dept Schedules Exam;4
20058;ECON 800 001;Full Term;GRADUATE RESEARCH;Back, Kerry E.;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24080;ECON 800 002;Full Term;GRADUATE RESEARCH;Hartley, Peter R.;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24081;ECON 800 003;Full Term;GRADUATE RESEARCH;Eraslan, Hulya;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24083;ECON 800 004;Full Term;GRADUATE RESEARCH;Tang, Xun;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24084;ECON 800 005;Full Term;GRADUATE RESEARCH;Cunha, Flavio A.;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24085;ECON 800 006;Full Term;GRADUATE RESEARCH;Zodrow, George R.;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24086;ECON 800 007;Full Term;GRADUATE RESEARCH;Sickles, Robin;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24087;ECON 800 008;Full Term;GRADUATE RESEARCH;El-Gamal, Mahmoud A.;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24088;ECON 800 009;Full Term;GRADUATE RESEARCH;Ho, Vivian;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24089;ECON 800 010;Full Term;GRADUATE RESEARCH;Fox, Jeremy T.;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
