CRN;Course;Session;Title;Instructor;Time/Location;Credits
24527;BIOC 310 033;Full Term;IND RES FOR BIOC UNDERGRADS;Uribe, Rosa A.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20832;BIOC 310 034;Full Term;IND RES FOR BIOC UNDERGRADS;Wolynes, Peter;TBA TBANo Final Exam;1 TO 4
20833;BIOC 310 035;Full Term;IND RES FOR BIOC UNDERGRADS;Zhong, Weiwei;TBA TBANo Final Exam;1 TO 4
24345;BIOC 310 036;Full Term;IND RES FOR BIOC UNDERGRADS;Saltz, Julia B.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20889;BIOC 310 039;Full Term;IND RES FOR BIOC UNDERGRADS;Tabor, Jeffrey;TBA TBANo Final Exam;1 TO 4
21855;BIOC 310 042;Full Term;IND RES FOR BIOC UNDERGRADS;Kirienko, Natalia V.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
24528;BIOC 310 043;Full Term;IND RES FOR BIOC UNDERGRADS;Beason-Abmayr, K. Beth;TBA TBANo Final Exam;1 TO 4
20399;BIOC 311 001;Full Term;ADV EXPERIMENTAL BIOSCIENCES;Beason-Abmayr, K. Beth;1:00PM - 5:00PM T ABL 12627-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;2
20400;BIOC 311 002;Full Term;ADV EXPERIMENTAL BIOSCIENCES;Beason-Abmayr, K. Beth;1:00PM - 5:00PM W ABL 12626-APR-2018 7:00PM - 10:00PM R TBA TBANo Final Exam;2
21163;BIOC 318 001;2nd Half of Full Term;MICROBIOLOGY LABORATORY;Caprette, DavidStewart, Charles R.;1:00PM - 4:50PM MW ABL 1271-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;1
21164;BIOC 318 002;2nd Half of Full Term;MICROBIOLOGY LABORATORY;Caprette, DavidStewart, Charles R.;1:00PM - 4:50PM TR ABL 12727-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;1
20401;BIOC 320 001;1st Half of Full Term;LABORATORY IN TISSUE CULTURE;Ghosn, Bilal;1:00PM - 5:50PM MW KCK 1082:00PM - 2:50PM F KCK 107Scheduled Final Exam-Dept Room;1
20402;BIOC 320 002;1st Half of Full Term;LABORATORY IN TISSUE CULTURE;Ghosn, Bilal;1:00PM - 5:50PM TR KCK 1082:00PM - 2:50PM F KCK 107No Final Exam;1
20405;BIOC 334 001;Full Term;EVOLUTION;Bengston, Sarah E.;10:00AM - 10:50AM MWF ABL 13130-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
