CRN;Course;Session;Title;Instructor;Time/Location;Credits
24920;SPPO 430 001;Full Term;LATIN AMERICAN WOMEN'S CULTURE;Gonzalez-Stephan, Beatriz M.;3:00PM - 5:30PM W RZR 30229-APR-2018 2:00PM - 5:00PM U TBA TBANo Final Exam;3
24461;SPPO 490 001;Full Term;INDEPENDENT STUDY;Duno-Gottberg, Luis;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 3
20302;SWGS 201 001;Full Term;INTR LESBIAN, GAY, BISEX&TRAN;Riedel, Brian S.;1:00PM - 2:15PM TR HUM 32827-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
24811;SWGS 305 001;Full Term;CHAUCER;Houlik-Ritchey, Emily M.;10:50AM - 12:05PM TR HRG 125No Final Exam;3
25411;SWGS 324 002;Full Term;SOCIOLOGY OF GENDER;Paige, Robin;10:50AM - 12:05PM TR HRG 12926-APR-2018 9:00AM - 12:00PM R TBA TBATake-Home Exam;3
25039;SWGS 325 001;Full Term;SOCIOLOGY OF THE FAMILY;Chavez, Sergio;2:30PM - 3:45PM TR RZR 11930-APR-2018 2:00PM - 5:00PM M TBA TBAScheduled Final Exam-OTR Room;3
24985;SWGS 327 001;Full Term;VIRGINIA WOOLF AND COMPANY;Lamos, Colleen R.;1:00PM - 1:50PM MWF BKH 2331-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;3
24947;SWGS 331 001;Full Term;PSYCHOLOGY OF GENDER;King, Eden B.;10:50AM - 12:05PM TR SEW 30926-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;3
24866;SWGS 345 001;Full Term;HISTORY OF FEMINISM;Wildenthal, Lora J.Kodama, Maki;10:00AM - 10:50AM MWF HUM 11930-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
22016;SWGS 354 001;Full Term;CHICANA FEMINISM;Valdez, Elena V.;1:00PM - 1:50PM MWF BKH 2291-MAY-2018 9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room;3
23858;SWGS 364 001;Full Term;QUEER LITERARY CULTURES;Lamos, Colleen R.;11:00AM - 11:50AM MWF HRG 22425-APR-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
24871;SWGS 384 001;Full Term;MOD GIRL & ASIA IN THE WORLD;Barlow, Tani;2:00PM - 3:15PM MW HNZ 202No Final Exam;3
25004;SWGS 389 001;Full Term;ISSUES OF ACCESS;Comer, Krista;2:00PM - 3:15PM MW HUM 1191-MAY-2018 2:00PM - 5:00PM T TBA TBANo Final Exam;3
25373;SWGS 394 002;Full Term;HUMAN DEVELOPMENT;Lopez Alonso, Moramay;10:50AM - 12:05PM TR SEW 56226-APR-2018 9:00AM - 12:00PM R TBA TBANo Final Exam;3
