CRN,Course,Session,Title,Instructor(s),Schedule,Credits
20337,CEVE 313 001,Full Term,UNCERT & RISK IN URBAN INFRAST,Duenas Osorio, Leonardo A.,10:00AM - 10:50AM MWF KCK 105Scheduled Final Exam-OTR Room,3
22671,CEVE 314 001,Full Term,SUST WTR PURIF FOR DEV WORLD,Loyo Rosales, Jorge E.,11:00AM - 12:15PM MW OED 11425-APR-2018  9:00AM - 12:00PM W TBA TBANo Final Exam,3
20106,CEVE 400 001,Full Term,ADV MECHANICS OF MATERIALS,Stanciulescu, Ilinca,4:00PM - 5:15PM MW RYN 20128-APR-2018  7:00PM - 10:00PM S TBA TBANo Final Exam,3
24782,CEVE 404 001,Full Term,ATMOSPHERIC PARTICULATE MATTER,Griffin, Robert J.,10:00AM - 10:50AM MWF KCK 10130-APR-2018  9:00AM - 12:00PM M TBA TBANo Final Exam,3
20107,CEVE 405 001,Full Term,STEEL DESIGN,Rubiano Benavides, Nestor R.,5:10PM - 6:25PM TR AEL A12129-APR-2018  7:00PM - 10:00PM U TBA TBAScheduled Final Exam-OTR Room,3
20998,CEVE 412 001,Full Term,HYDROLOGY & WATER RESOUCES ENG,Bedient, Philip B.,10:50AM - 12:05PM TR MEL 25126-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room,3
24581,CEVE 417 001,Full Term,FINITE ELEMENT ANALYSIS,Akin, John E.,1:00PM - 2:15PM TR MEB 12827-APR-2018  9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room,3
20653,CEVE 452 002,Full Term,URBAN TRANSPORTATION SYSTEMS,Chapa, ArmandinaSpieler, Christof T.,8:00AM - 9:15AM TR RYN 2011-MAY-2018  7:00PM - 10:00PM T TBA TBATake-Home Exam,3
20109,CEVE 480 001,Full Term,SENIOR DESIGN,Penland, Charles M.Cannady, William T.Adamson, David T.,3:00PM - 5:30PM R MEL 25130-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,3
24277,CEVE 499 001,Full Term,SPECIAL TOPICS,Alvarez, Pedro J., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 12
24276,CEVE 499 002,Full Term,SPECIAL TOPICS,Bedient, Philip B., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 12
24278,CEVE 499 003,Full Term,SPECIAL TOPICS,Blackburn, James B., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 12
24259,CEVE 499 004,Full Term,SPECIAL TOPICS,Cannady, William T.,3:00PM - 5:30PM R TBA TBA30-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,1 TO 12
24282,CEVE 499 009,Full Term,SPECIAL TOPICS,Nagarajaiah, Satish, TBA TBANo Final Exam,1 TO 12
25457,CEVE 499 017,Full Term,SPECIAL TOPICS,Loyo Rosales, Jorge E., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 12
20312,CEVE 500 001,Full Term,ADV MECHANICS OF MATERIALS,Stanciulescu, Ilinca,4:00PM - 5:15PM MW RYN 201GR Course-Dept Schedules Exam,3
24783,CEVE 504 001,Full Term,ATMOSPHERIC PARTICULATE MATTER,Griffin, Robert J.,10:00AM - 10:50AM MWF KCK 101GR Course-Dept Schedules Exam,3
22082,CEVE 507 001,Full Term,ENERGY AND THE ENVIRONMENT,Cohan, Daniel S.,9:25AM - 10:40AM TR RZR 119GR Course-Dept Schedules Exam,3
21284,CEVE 509 001,Full Term,HYDROLOGY & WATER RESOUCES ENG,Bedient, Philip B.,10:50AM - 12:05PM TR MEL 25126-APR-2018  9:00AM - 12:00PM R TBA TBAGR Course-Dept Schedules Exam,3
20543,CEVE 518 001,Full Term,CONTAMINANT HYDROGEOLOGY,de Blanc, Phillip C.,1:00PM - 2:15PM TR MEL 254GR Course-Dept Schedules Exam,3
24784,CEVE 535 001,Full Term,PHYS CHEM PROC WATER QUAL CTRL,Li, Qilin,9:25AM - 10:40AM TR KCK 107GR Course-Dept Schedules Exam,3
20110,CEVE 536 001,Full Term,ENVIRONMENTAL BIOTECHNOLOGY,Alvarez, Pedro J.,8:30AM - 9:50AM MWF MEL 254GR Course-Dept Schedules Exam,3
22087,CEVE 538 001,Full Term,COMPUTATIONAL NANOSCIENCE,Shahsavari, Rouzbeh,6:30PM - 7:45PM TR KCK 105GR Course-Dept Schedules Exam,3
24785,CEVE 540 001,Full Term,STEEL BUILDING DESIGN,Wilkerson, Steven M.,5:10PM - 6:25PM TR RYN 201GR Course-Dept Schedules Exam,3
22084,CEVE 550 001,Full Term,ENVIRONMENTAL ORGANIC CHEM,Tomson, Mason B.,1:00PM - 1:50PM MWF KCK 107GR Course-Dept Schedules Exam,3
22132,CEVE 555 001,Full Term,NUMERICAL METHODS FOR PDES,Scott, L R.,1:00PM - 2:15PM TR DCH 1042GR Course-Dept Schedules Exam,3
